Event_Type,Category,Weight,Rank,Points,Logic
DNS_SPF,DNS Health,0.7,2,-10,zero_entries_fail
DNS_TEXT,DNS Health,0.7,2,-10,zero_entries_fail
DNS_SRV,DNS Health,0.7,3,0,informational
DOMAIN_IMPERSONATION,DNS Health,0.7,5,0,informational
DOMAIN_NAME,DNS Health,0.7,3,-5,unverified_exists
DOMAIN_NAME_PARENT,DNS Health,0.7,4,-1,unverified_exists
DOMAIN_REGISTRAR,DNS Health,0.7,3,-5,unverified_exists
DOMAIN_WHOIS,DNS Health,0.7,4,-1,unverified_exists
RAW_DNS_RECORDS,DNS Health,0.7,5,0,informational
NETBLOCK_WHOIS,DNS Health,0.7,4,-1,unverified_exists
APPSTORE_ENTRY,General Health,0.8,3,-5,unverified_exists
BLACKLISTED_AFFILIATE_INTERNET_NAME,General Health,0.8,5,0,informational
BLACKLISTED_AFFILIATE_IPADDR,General Health,0.8,5,0,informational
COUNTRY_NAME,General Health,0.8,3,-5,unverified_exists
GEOINFO,General Health,0.8,3,-5,unverified_exists
PHYSICAL_COORDINATES,General Health,0.8,3,-5,unverified_exists
PUBLIC_CODE_REPO,General Health,0.8,2,-10,unverified_exists
SSL_CERTIFICATE_EXPIRING,General Health,0.8,2,-10,unverified_exists
SSL_CERTIFICATE_EXPIRED,General Health,0.8,2,-10,unverified_exists
SSL_CERTIFICATE_ISSUED,General Health,0.8,4,-1,unverified_exists
SSL_CERTIFICATE_ISSUER,General Health,0.8,4,-1,unverified_exists
SSL_CERTIFICATE_MISMATCH,General Health,0.8,2,-10,unverified_exists
SSL_CERTIFICATE_RAW,General Health,0.8,5,0,informational
VULNERABILITY_DISCLOSURE,General Health,0.8,1,-20,unverified_exists
AFFILIATE_COMPANY_NAME,Information / Reference,0.0,5,0,informational
AFFILIATE_DESCRIPTION_ABSTRACT,Information / Reference,0.0,5,0,informational
AFFILIATE_DESCRIPTION_CATEGORY,Information / Reference,0.0,5,0,informational
AFFILIATE_DOMAIN_NAME,Information / Reference,0.0,5,0,informational
AFFILIATE_DOMAIN_UNREGISTERED,Information / Reference,0.0,5,0,informational
AFFILIATE_DOMAIN_WHOIS,Information / Reference,0.0,5,0,informational
AFFILIATE_EMAILADDR,Information / Reference,0.0,5,0,informational
AFFILIATE_INTERNET_NAME,Information / Reference,0.0,5,0,informational
AFFILIATE_INTERNET_NAME_HIJACKABLE,Information / Reference,0.0,5,0,informational
AFFILIATE_INTERNET_NAME_UNRESOLVED,Information / Reference,0.0,5,0,informational
AFFILIATE_IPADDR,Information / Reference,0.0,5,0,informational
AFFILIATE_IPV6_ADDRESS,Information / Reference,0.0,5,0,informational
AFFILIATE_WEB_CONTENT,Information / Reference,0.0,5,0,informational
BGP_AS_MEMBER,Information / Reference,0.0,5,0,informational
BGP_AS_OWNER,Information / Reference,0.0,5,0,informational
BITCOIN_ADDRESS,Information / Reference,0.0,5,0,informational
BITCOIN_BALANCE,Information / Reference,0.0,5,0,informational
CLOUD_STORAGE_BUCKET,Information / Reference,0.0,5,0,informational
CLOUD_STORAGE_BUCKET_OPEN,Information / Reference,0.0,3,-10,unverified_exists
CO_HOSTED_SITE,Information / Reference,0.0,5,0,informational
CO_HOSTED_SITE_DOMAIN,Information / Reference,0.0,5,0,informational
CO_HOSTED_SITE_DOMAIN_WHOIS,Information / Reference,0.0,5,0,informational
COMPANY_NAME,Information / Reference,0.0,5,0,informational
DESCRIPTION_ABSTRACT,Information / Reference,0.0,5,0,informational
DESCRIPTION_CATEGORY,Information / Reference,0.0,5,0,informational
LEI,Information / Reference,0.0,5,0,informational
MALICIOUS_AFFILIATE_INTERNET_NAME,Information / Reference,0.0,5,0,informational
MALICIOUS_AFFILIATE_IPADDR,Information / Reference,0.0,5,0,informational
MALICIOUS_COHOST,Information / Reference,0.0,5,0,informational
NETBLOCK_MEMBER,Information / Reference,0.0,5,0,informational
